TIC ID,TFOPWG Disposition
58542531,CP
85031598,PC
28900646,CP
102672709,PC
103448870,PC
121966220,FP
198384408,FA
267574918,CP
268334473,CP
288636342,PC
288636342,PC
353475866,CP
396740648,CP
422756130,CP
470381900,CP
1884091865,PC
137500798,FP
230377505,PC
230377505,PC
445805961,CP
142090065,FP
257241363,PC
293617835,PC
86396382,KP
298666530,FP
224596152,PC
365673804,PC
408618999,CP
233009109,PC
104208182,PC
159418353,CP
174041208,PC
198206613,PC
219857012,CP
219860288,CP
229455001,CP
232635922,PC
232650365,PC
232650365,PC
233071822,PC
233071926,PC
233602827,CP
233602827,CP
233602827,KP
237099296,PC
287080092,CP
287139872,CP
287139872,CP
289580577,CP
332477926,PC
356978132,APC
364074068,PC
367753709,PC
367753709,PC
367858035,CP
408636441,CP
420112587,FP
424391516,PC
435680451,PC
441739871,PC
1551345500,PC
272672133,PC
67666096,KP
8767448,KP
137906197,CP
287225295,APC
457138169,FP
252479260,KP
85293053,CP
332064670,KP
4897275,CP
9348006,CP
21535395,CP
29191624,CP
39699648,CP
67646988,KP
99834717,KP
137881699,KP
160045097,CP
160045097,CP
160045097,PC
229938290,PC
241196395,APC
230386259,PC
86280613,FP
372730331,PC
450327768,FP
172518755,CP
310981412,FA
233684293,FA
29191596,PC
304142124,CP
286916251,CP
198153540,CP
198153540,CP
165763244,PC
207425167,PC
207425167,PC
377290815,FP
160440924,PC
233720539,FP
142381532,CP
142387023,CP
229750058,PC
229400092,CP
232982938,CP
235905185,PC
307956397,PC
207468071,CP
207468071,FP
162689341,KP
168699373,KP
198108326,KP
272758199,PC
198385543,CP
219824469,FP
224313733,FP
229742722,CP
202426247,CP
323295479,PC
321668398,CP
229791084,KP
207425203,APC
400430915,PC
230087585,PC
299780329,PC
230375747,PC
233503636,FP
229490898,PC
328933398,PC
328933398,PC
328933398,PC
232641326,APC
233047097,PC
233078665,PC
233497719,FP
219762508,PC
243335710,PC
359357695,PC
59859387,FP
396368313,PC
348755728,CP
219879302,PC
258510872,CP
403136415,PC
229586455,PC
459997997,FP
139771134,APC
288636599,PC
139198430,APC
264544388,PC
280865159,PC
384159646,PC
174302697,PC
420645189,FP
420645189,FP
91987762,CP
172370679,CP
178879588,KP
272212970,KP
77156657,KP
272213425,KP
429302040,KP
453789494,KP
44745133,KP
98545929,KP
339522221,KP
308425348,FP
102192004,KP
363851359,KP
112099249,KP
114299824,KP
371443216,KP
157266693,KP
160578764,KP
162922904,KP
125739286,KP
178289267,KP
268301217,CP
128449971,APC
325172035,FP
7413227,APC
167009792,FP
308919449,FP
382980571,PC
461080504,FP
357536526,FP
127315102,FP
460140752,FP
31268146,FP
334125713,PC
327663613,FP
356590734,PC
394509844,FP
242536549,FP
466113537,PC
166184426,FP
334911765,FP
302659412,FP
356747847,PC
400323948,FP
318828309,PC
179319057,PC
141663464,FP
190271688,FP
242083025,FP
295354126,FP
242120884,PC
320079492,APC
210445631,APC
293708935,FP
162695785,PC
253132689,FP
267414551,PC
47617161,PC
295562522,APC
467281353,FP
329888006,APC
383531859,FP
458856474,FP
458857720,FP
127793615,FP
378613125,PC
437329044,PC
89535068,FP
162246865,FP
469212332,APC
468997317,APC
349088467,APC
161156159,FP
324395151,FP
457939414,FP
82707763,FP
147340931,FP
453464017,FP
445903569,CP
299023386,PC
275384718,FP
142378043,PC
429295277,FP
447206604,APC
371188886,CP
371188886,CP
118084044,PC
356453768,FP
58463434,PC
439610306,FP
147660886,PC
41173048,FA
219466784,PC
243187830,PC
26547036,CP
136916387,KP
136916387,KP
136916387,KP
138294130,KP
198588220,KP
368287008,CP
219508169,PC
219508169,PC
219508169,PC
357416482,FP
357501308,CP
159781361,CP
39903405,KP
236312126,KP
11996814,FP
255930614,KP
394050135,CP
407059875,PC
422656370,APC
470159478,APC
53617134,PC
368320811,PC
405559035,PC
405559035,PC
235937532,APC
237071229,PC
427730490,PC
346929661,PC
270333769,FP
347013211,PC
159873822,CP
316468545,PC
378355116,FP
322062001,APC
229888286,PC
403308915,FP
285542903,FP
115524421,KP
141663460,FP
147951030,PC
417931300,CP
198187049,PC
233182695,PC
198360694,PC
900715901,PC
441642457,PC
158075010,PC
23814735,PC
27491137,CP
27491137,CP
27491137,CP
230075227,PC
159244568,FA
224298134,PC
224298134,PC
367739494,PC
321669174,CP
321669174,PC
160039081,PC
233633993,PC
441738827,CP
441738827,FP
103633672,PC
230387153,PC
230387153,PC
219462190,PC
441765914,CP
341815197,PC
233721037,PC
219778329,PC
393965778,PC
402898317,CP
356016119,PC
235678745,CP
235678745,CP
142748283,CP
142748283,CP
279982557,FP
356700488,PC
230386397,FP
219436394,PC
165527918,PC
289590465,PC
289590465,PC
160491359,PC
160491359,PC
367630162,PC
367630162,PC
367630162,PC
367630162,PC
367630162,PC
156199502,PC
446549906,CP
54464870,FP
422838133,FP
279212407,FP
236387002,CP
389900760,CP
105840719,PC
336267424,FP
399860444,KP
428988981,PC
341630071,CP
1716467085,PC
406855039,FP
428787891,CP
461591646,CP
270515566,APC
284477310,PC
366563452,FP
284564230,FP
233680651,PC
160162987,FP
154741689,PC
405717754,KP
123495874,KP
123233041,KP
164892194,KP
237913194,CP
298663873,CP
233068569,PC
268823307,KP
1715469662,PC
176956893,CP
270472265,PC
142105158,PC
260298958,FP
38680052,PC
271806353,PC
280803917,PC
272236017,PC
348995212,APC
278138619,PC
150437346,PC
306510653,PC
388198242,PC
271891552,PC
403135192,PC
405425498,APC
405425498,APC
61733521,FP
143410850,PC
421455387,APC
267093376,APC
394722182,CP
231077395,PC
388130235,FP
98494121,FP
96973930,PC
278415929,PC
349786918,FP
179580045,PC
264303333,FP
229715760,PC
233066156,PC
367855829,FA
233688779,PC
265146266,PC
198485881,CP
219821826,FP
219501568,PC
229787062,PC
165530380,PC
159400561,PC
235943205,PC
8348911,CP
459837008,CP
459837008,PC
459837008,CP
441798995,FA
441798995,PC
441798995,PC
198178505,PC
258389327,APC
265460043,APC
142117976,PC
289164482,CP
289164482,PC
272679240,PC
198456933,PC
288516853,PC
243313296,PC
115623434,PC
264171144,PC
237211410,PC
198211976,FA
115446313,FP
329148988,CP
237201858,PC
160077104,PC
462615350,PC
82452140,PC
321688498,PC
236934937,PC
236934268,PC
284361752,PC
48018596,PC
165554103,PC
233500935,PC
229608594,PC
362220495,FA
280031353,PC
280031353,PC
280031353,PC
283829553,PC
38467100,PC
300812741,CP
300812741,CP
293527670,FP
177308364,PC
394287035,CP
238920875,PC
180991313,KP
168751223,PC
358579111,PC
200743403,PC
160003961,APC
88902249,CP
230001847,CP
279514271,PC
29959761,FP
100267480,FP
166834768,PC
311179742,PC
91555165,CP
91555165,CP
301343785,APC
290036495,APC
177079323,PC
219766989,FP
124515764,PC
124206468,PC
124095888,FP
204671232,PC
302924206,PC
445456888,PC
344085117,FP
332558858,CP
164150537,PC
382625239,PC
149349867,PC
149349867,PC
149349867,PC
144297844,PC
142087638,PC
142087638,FP
142087638,FP
153078576,CP
237922465,CP
358248442,PC
197807043,PC
97486178,PC
142937186,CP
274193763,APC
420051632,PC
23170835,PC
